date,casos,muertes,t,casos_nuevos,muertes_nuevas
2020-02-28,3,0,1,3,0
2020-02-29,4,0,2,1,0
2020-03-01,5,0,3,1,0
2020-03-02,5,0,4,0,0
2020-03-03,5,0,5,0,0
2020-03-04,5,0,6,0,0
2020-03-05,5,0,7,0,0
2020-03-06,6,0,8,1,0
2020-03-07,7,0,9,1,0
2020-03-08,7,0,10,0,0
2020-03-09,7,0,11,0,0
2020-03-10,7,0,12,0,0
2020-03-11,11,0,13,4,0
2020-03-12,15,0,14,4,0
2020-03-13,26,0,15,11,0
2020-03-14,41,0,16,15,0
2020-03-15,53,0,17,12,0
2020-03-16,82,0,18,29,0
2020-03-17,93,0,19,11,0
2020-03-18,118,0,20,25,0
2020-03-19,164,0,21,46,0
2020-03-20,203,2,22,39,2
2020-03-21,251,2,23,48,0
2020-03-22,316,2,24,65,0
2020-03-23,367,4,25,51,2
2020-03-24,405,5,26,38,1
2020-03-25,476,6,27,71,1
2020-03-26,585,8,28,109,2
